"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"61",919,1493,1528,1528,1528,2750,2750,2750
"62",920,1491,1528,1528,1528,2750,2750,2750
"63",918,1490,1528,1528,1528,2750,2750,2750
"64",920,1488,1534,1534,1534,2750,2750,2750
"65",920,1488,1529,1529,1529,2750,2750,2750
"66",920,1482,1532,1532,1532,2750,2750,2750
"67",920,1482,1524,1524,1524,2750,2750,2750
"68",919,1486,1525,1525,1525,2750,2750,2750
"69",920,1481,1528,1528,1528,2750,2750,2750
"70",920,1481,1530,1530,1530,2750,2750,2750
"71",920,1481,1528,1528,1528,2750,2750,2750
"1",920,1494,1526,1526,1526,2750,2750,2750
"2",920,1487,1528,1528,1528,2750,2750,2750
"3",920,1487,1525,1525,1525,2750,2750,2750
"4",920,1487,1532,1532,1532,2750,2750,2750
"5",920,1488,1535,1535,1535,2750,2750,2750
"6",920,1486,1535,1535,1535,2750,2750,2750
"7",919,1487,1530,1530,1530,2750,2750,2750
"8",920,1487,1532,1532,1532,2750,2750,2750
"167",920,1482,1532,1532,1532,2750,2750,2750
"168",920,1485,1530,1530,1530,2750,2750,2750
"169",913,1490,1530,1530,1530,2750,2750,2750
"170",916,1490,1531,1531,1531,2750,2750,2750
"171",917,1494,1526,1526,1526,2750,2750,2750
"172",918,1490,1526,1526,1526,2750,2750,2750
"173",920,1490,1526,1526,1526,2750,2750,2750
"174",918,1490,1529,1529,1529,2750,2750,2750
"175",920,1487,1526,1526,1526,2750,2750,2750
"176",920,1487,1528,1528,1528,2750,2750,2750
"177",915,1483,1526,1526,1526,2750,2750,2750
"178",915,1490,1528,1528,1528,2750,2750,2750
"179",920,1485,1526,1526,1526,2750,2750,2750
"180",913,1484,1527,1527,1527,2750,2750,2750
"181",914,1483,1528,1528,1528,2750,2750,2750
"182",920,1485,1526,1526,1526,2750,2750,2750
"183",920,1496,1523,1523,1523,2750,2750,2750
"184",920,1480,1526,1526,1526,2750,2750,2750
"185",906,1481,1528,1528,1528,2750,2750,2750
"186",920,1480,1524,1524,1524,2750,2750,2750
"187",920,1480,1526,1526,1526,2750,2750,2750
"188",920,1479,1529,1529,1529,2750,2750,2750
"189",920,1479,1563,1563,1563,2750,2750,2750
"190",920,1479,1529,1529,1529,2750,2750,2750
"191",920,1480,1527,1527,1527,2750,2750,2750
"192",907,1479,1531,1531,1531,2750,2750,2750
"193",920,1480,1529,1529,1529,2750,2750,2750
"194",920,1479,1527,1527,1527,2750,2750,2750
"195",920,1479,1524,1524,1524,2750,2750,2750
"196",909,1478,1528,1528,1528,2750,2750,2750
"197",919,1480,1527,1527,1527,2750,2750,2750
"198",913,1479,1528,1528,1528,2750,2750,2750
"199",920,1479,1535,1535,1535,2750,2750,2750
"200",891,1478,1528,1528,1528,2750,2750,2750
"201",920,1480,1524,1524,1524,2750,2750,2750
"202",920,1481,1526,1526,1526,2750,2750,2750
