"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"95",1189,1532,1803,1803,1803,3008,3008,3008
"96",1189,1526,1802,1802,1802,3007,3007,3007
"97",1184,1525,1801,1801,1801,2998,2998,2998
"98",1183,1526,1806,1806,1806,3037,3037,3037
"99",1184,1528,1807,1807,1807,3007,3007,3007
"100",1184,1527,1815,1815,1815,3007,3007,3007
"101",1183,1526,1809,1809,1809,2997,2997,2997
"102",1183,1526,1808,1808,1808,3027,3027,3027
"103",1183,1527,1813,1813,1813,3007,3007,3007
"104",1183,1526,1806,1806,1806,3007,3007,3007
"105",1183,1526,1801,1801,1801,2991,2991,2991
"106",1184,1526,1807,1807,1807,3006,3006,3006
"107",1185,1526,1802,1802,1802,3006,3006,3006
"108",1186,1527,1801,1801,1801,2990,2990,2990
"109",1185,1528,1805,1805,1805,3020,3020,3020
"110",1181,1525,1799,1799,1799,2993,2993,2993
"111",1180,1526,1799,1799,1799,3006,3006,3006
"112",1182,1522,1805,1805,1805,3002,3002,3002
"113",1184,1526,1801,1801,1801,3019,3019,3019
"114",1184,1524,1800,1800,1800,2993,2993,2993
"115",1181,1525,1798,1798,1798,3000,3000,3000
"116",1186,1527,1791,1791,1791,2989,2989,2989
"117",1181,1530,1799,1799,1799,3000,3000,3000
"118",1179,1530,1798,1798,1798,2994,2994,2994
"119",1179,1530,1797,1797,1797,3000,3000,3000
"120",1182,1530,1792,1792,1792,3001,3001,3001
"121",1179,1525,1797,1797,1797,2994,2994,2994
"122",1184,1529,1788,1788,1788,3001,3001,3001
"123",1189,1528,1797,1797,1797,3000,3000,3000
"124",1190,1529,1798,1798,1798,3001,3001,3001
"125",1189,1528,1798,1798,1798,2993,2993,2993
"126",1190,1528,1799,1799,1799,2991,2991,2991
"127",1187,1525,1797,1797,1797,2993,2993,2993
"128",1188,1528,1798,1798,1798,2993,2993,2993
"129",1186,1539,1805,1805,1805,3001,3001,3001
"130",1192,1528,1803,1803,1803,2997,2997,2997
"131",1188,1531,1802,1802,1802,2991,2991,2991
"132",1188,1529,1805,1805,1805,2993,2993,2993
"133",1185,1529,1808,1808,1808,3014,3014,3014
"134",1186,1528,1809,1809,1809,2996,2996,2996
"135",1185,1526,1809,1809,1809,2996,2996,2996
"136",1185,1529,1811,1811,1811,3019,3019,3019
"137",1189,1528,1799,1799,1799,3005,3005,3005
"138",1184,1528,1813,1813,1813,3022,3022,3022
"139",1184,1528,1807,1807,1807,3009,3009,3009
"140",1185,1529,1809,1809,1809,2998,2998,2998
"141",1184,1529,1812,1812,1812,2995,2995,2995
"142",1184,1529,1808,1808,1808,3019,3019,3019
"143",1185,1529,1808,1808,1808,2998,2998,2998
"144",1184,1528,1809,1809,1809,2997,2997,2997
"145",1186,1528,1805,1805,1805,2994,2994,2994
"146",1186,1529,1809,1809,1809,2997,2997,2997
"147",1185,1530,1806,1806,1806,2993,2993,2993
"148",1185,1530,1811,1811,1811,3006,3006,3006
"149",1183,1526,1805,1805,1805,2996,2996,2996
"150",1184,1530,1805,1805,1805,3003,3003,3003
"151",1184,1525,1806,1806,1806,3015,3015,3015
"152",1181,1525,1799,1799,1799,3002,3002,3002
"153",1185,1527,1805,1805,1805,3000,3000,3000
"154",1182,1528,1803,1803,1803,3003,3003,3003
"155",1185,1526,1797,1797,1797,2999,2999,2999
"156",1183,1525,1792,1792,1792,2987,2987,2987
"157",1182,1531,1794,1794,1794,3002,3002,3002
"158",1183,1524,1791,1791,1791,2992,2992,2992
"159",1188,1526,1795,1795,1795,2991,2991,2991
"160",1181,1525,1792,1792,1792,3003,3003,3003
"161",1184,1524,1791,1791,1791,2986,2986,2986
"162",1188,1525,1791,1791,1791,2987,2987,2987
"163",1185,1527,1793,1793,1793,2993,2993,2993
"164",1183,1525,1796,1796,1796,2986,2986,2986
"165",1189,1526,1792,1792,1792,2986,2986,2986
"166",1188,1525,1795,1795,1795,2986,2986,2986
"291",1182,1527,1812,1812,1812,3019,3019,3019
"292",1188,1528,1817,1817,1817,3014,3014,3014
"293",1181,1530,1813,1813,1813,3021,3021,3021
"294",1179,1529,1806,1806,1806,2993,2993,2993
"295",1179,1529,1797,1797,1797,2991,2991,2991
"296",1178,1529,1809,1809,1809,3014,3014,3014
"297",1179,1529,1810,1810,1810,3014,3014,3014
"298",1178,1529,1800,1800,1800,3010,3010,3010
"299",1181,1529,1801,1801,1801,3014,3014,3014
"300",1177,1529,1796,1796,1796,2993,2993,2993
"260",1186,1527,1811,1811,1811,3014,3014,3014
"261",1189,1527,1813,1813,1813,3012,3012,3012
"262",1183,1526,1813,1813,1813,3010,3010,3010
"263",1178,1531,1808,1808,1808,3022,3022,3022
"264",1183,1528,1816,1816,1816,3021,3021,3021
"265",1187,1528,1811,1811,1811,3017,3017,3017
"266",1181,1528,1814,1814,1814,3017,3017,3017
"267",1181,1530,1809,1809,1809,3016,3016,3016
"268",1181,1529,1811,1811,1811,3019,3019,3019
"269",1181,1528,1809,1809,1809,3013,3013,3013
"270",1181,1528,1811,1811,1811,3029,3029,3029
"271",1182,1530,1811,1811,1811,3018,3018,3018
"272",1182,1528,1812,1812,1812,3013,3013,3013
"273",1182,1529,1808,1808,1808,3012,3012,3012
"274",1181,1528,1809,1809,1809,3023,3023,3023
"275",1182,1529,1813,1813,1813,3006,3006,3006
"276",1174,1537,1805,1805,1805,3022,3022,3022
"277",1178,1529,1813,1813,1813,3022,3022,3022
"278",1180,1529,1813,1813,1813,3016,3016,3016
"279",1180,1528,1809,1809,1809,3012,3012,3012
"280",1176,1537,1812,1812,1812,3022,3022,3022
"281",1174,1538,1803,1803,1803,3020,3020,3020
"282",1179,1530,1808,1808,1808,3023,3023,3023
"283",1176,1540,1806,1806,1806,3024,3024,3024
"284",1177,1529,1796,1796,1796,3014,3014,3014
"285",1181,1529,1807,1807,1807,3022,3022,3022
"286",1180,1526,1809,1809,1809,3009,3009,3009
"287",1180,1527,1808,1808,1808,3028,3028,3028
"288",1191,1530,1803,1803,1803,3012,3012,3012
"289",1192,1529,1800,1800,1800,3001,3001,3001
"290",1184,1526,1807,1807,1807,3018,3018,3018
"18",1190,1526,1800,1800,1800,2993,2993,2993
"19",1184,1530,1802,1802,1802,2998,2998,2998
"20",1189,1528,1806,1806,1806,2994,2994,2994
"21",1190,1528,1808,1808,1808,2996,2996,2996
"22",1188,1529,1808,1808,1808,3007,3007,3007
"23",1190,1529,1801,1801,1801,2999,2999,2999
"24",1188,1529,1798,1798,1798,3003,3003,3003
"25",1189,1526,1809,1809,1809,2992,2992,2992
"26",1189,1530,1798,1798,1798,2985,2985,2985
"27",1188,1529,1798,1798,1798,2992,2992,2992
"28",1188,1531,1808,1808,1808,3001,3001,3001
"29",1187,1528,1807,1807,1807,2999,2999,2999
"30",1189,1527,1797,1797,1797,2997,2997,2997
"31",1191,1528,1806,1806,1806,3006,3006,3006
"32",1189,1528,1802,1802,1802,2997,2997,2997
"33",1189,1527,1803,1803,1803,2998,2998,2998
"34",1189,1529,1799,1799,1799,2999,2999,2999
"35",1190,1528,1797,1797,1797,2997,2997,2997
"36",1189,1527,1801,1801,1801,3004,3004,3004
"37",1187,1528,1799,1799,1799,3001,3001,3001
"38",1188,1527,1806,1806,1806,2999,2999,2999
"39",1189,1529,1800,1800,1800,2998,2998,2998
"40",1188,1528,1808,1808,1808,3003,3003,3003
"41",1190,1525,1800,1800,1800,2998,2998,2998
"42",1187,1529,1810,1810,1810,3010,3010,3010
"43",1190,1526,1792,1792,1792,2992,2992,2992
"44",1189,1526,1800,1800,1800,2987,2987,2987
"45",1189,1526,1797,1797,1797,2993,2993,2993
"46",1189,1526,1796,1796,1796,2998,2998,2998
"47",1189,1526,1801,1801,1801,2995,2995,2995
"48",1188,1528,1794,1794,1794,2993,2993,2993
"49",1188,1528,1789,1789,1789,2996,2996,2996
"50",1187,1527,1789,1789,1789,3000,3000,3000
"72",1189,1530,1796,1796,1796,3001,3001,3001
"73",1189,1527,1792,1792,1792,3006,3006,3006
"74",1189,1528,1790,1790,1790,3004,3004,3004
"75",1189,1528,1782,1782,1782,2997,2997,2997
"76",1190,1530,1787,1787,1787,2996,2996,2996
"77",1186,1530,1807,1807,1807,2996,2996,2996
"78",1186,1529,1804,1804,1804,3015,3015,3015
"79",1189,1526,1795,1795,1795,2996,2996,2996
"80",1190,1526,1791,1791,1791,2995,2995,2995
"81",1189,1527,1797,1797,1797,2992,2992,2992
"82",1185,1526,1802,1802,1802,3003,3003,3003
"83",1186,1525,1796,1796,1796,3001,3001,3001
"84",1186,1525,1800,1800,1800,3004,3004,3004
"85",1185,1525,1795,1795,1795,2998,2998,2998
"86",1189,1525,1795,1795,1795,2993,2993,2993
"87",1191,1530,1801,1801,1801,3000,3000,3000
"88",1182,1528,1799,1799,1799,3010,3010,3010
"89",1181,1523,1796,1796,1796,3018,3018,3018
"51",1190,1531,1800,1800,1800,3001,3001,3001
"52",1190,1530,1798,1798,1798,3003,3003,3003
"53",1190,1527,1801,1801,1801,3005,3005,3005
"54",1187,1531,1805,1805,1805,3023,3023,3023
"55",1189,1526,1805,1805,1805,3019,3019,3019
"56",1189,1526,1807,1807,1807,3022,3022,3022
"57",1187,1529,1796,1796,1796,3011,3011,3011
"58",1188,1530,1796,1796,1796,3009,3009,3009
"59",1188,1530,1798,1798,1798,3001,3001,3001
"60",1187,1531,1798,1798,1798,3024,3024,3024
"9",1189,1528,1785,1785,1785,2988,2988,2988
"10",1187,1528,1800,1800,1800,2993,2993,2993
"11",1190,1527,1793,1793,1793,2991,2991,2991
"12",1190,1525,1797,1797,1797,2996,2996,2996
"13",1190,1527,1798,1798,1798,2994,2994,2994
"14",1189,1527,1799,1799,1799,2995,2995,2995
"15",1189,1527,1799,1799,1799,2995,2995,2995
"16",1187,1531,1796,1796,1796,2992,2992,2992
"17",1188,1526,1799,1799,1799,2995,2995,2995
