"sample_id","core_label","sampling_date","sampling_longitude","sampling_longitude_err","sampling_latitude","sampling_latitude_err","sampling_altitude","sampling_altitude_err","site_id","sample_depth_lower","sample_depth_lower_err","sample_depth_upper","sample_depth_upper_err","sample_type","sample_microhabitat","sample_treatment","comments","N","N_err","C","C_err","O","O_err","H","H_err","S","S_err","P","P_err","K","K_err","Ca","Ca_err","Na","Na_err","Mg","Mg_err","Al","Al_err","Si","Si_err","Cl","Cl_err","Ti","Ti_err","Cr","Cr_err","Mn","Mn_err","Fe","Fe_err","Cu","Cu_err","Zn","Zn_err","As","As_err","Br","Br_err","Rb","Rb_err","Sr","Sr_err","Ba","Ba_err","Pb","Pb_err","d13C","d13C_err","d15N","d15N_err","d18O","d18O_err","d2H","d2H_err","mass","mass_err","volume","volume_err","bulk_density","bulk_density_err","loss_on_ignition","loss_on_ignition_err","pH","pH_err","electron_accepting_capacity","electron_accepting_capacity_err","electron_donating_capacity","electron_donating_capacity_err","heat_of_combustion","heat_of_combustion_err","enthalpy_of_formation","enthalpy_of_formation_err","entropy_of_formation","entropy_of_formation_err","Gibbs_energy_of_formation","Gibbs_energy_of_formation_err","Klason_lignin_content","Klason_lignin_content_err","holocellulose_mass_content","holocellulose_mass_content_err","age_14C","age_14C_err","lab_code_14C","activity_210Pb","activity_210Pb_err","mass_210Pb","mass_210Pb_err","volume_210Pb","volume_210Pb_err","bulk_density_210Pb","bulk_density_210Pb_err","counting_method_210_Pb","laboratory_label_210Pb","background_activity_reached_210Pb","activity_137Cs","activity_137Cs_err","age_137Cs","age_137Cs_err","hydraulic_conductivity","hydraulic_conductivity_err","porosity","porosity_err","macroporosity","macroporosity_err","data_source","data_source_doi"
"RLII.Bog.219.220","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,220,"NA",219,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.229.230","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,230,"NA",229,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.239.240","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,240,"NA",239,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.249.250","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,250,"NA",249,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.259.260","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,260,"NA",259,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.269.270","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,270,"NA",269,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.279.280","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,280,"NA",279,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.289.290","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,290,"NA",289,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.299.300","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,300,"NA",299,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.309.310","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,310,"NA",309,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody fen peat with decomposed sedge biomass and Amblystegiaceae moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.319.320","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,320,"NA",319,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody fen peat with decomposed sedge biomass and Amblystegiaceae moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.329.330","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,330,"NA",329,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody fen peat with decomposed sedge biomass and Amblystegiaceae moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.359.360","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,360,"NA",359,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody fen peat with decomposed sedge biomass and Amblystegiaceae moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.369.370","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,370,"NA",369,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody fen peat with decomposed sedge biomass and Amblystegiaceae moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.379.380","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,380,"NA",379,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody fen peat with decomposed sedge biomass and Amblystegiaceae moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.389.390","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,390,"NA",389,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody fen peat with decomposed sedge biomass and Amblystegiaceae moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.399.400","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,400,"NA",399,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody fen peat with decomposed sedge biomass and Amblystegiaceae moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.409.410","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,410,"NA",409,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody fen peat with decomposed sedge biomass and Amblystegiaceae moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3F_22.3","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,22.3,"NA",22.3,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,30,,,,,,,,,,,,,,,,,,,,,,,"Tfaily et al. (2014)","10.1002/2013JG002492"
"T3M_45.2","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,45.2,"NA",45.2,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,30,,,,,,,,,,,,,,,,,,,,,,,"Tfaily et al. (2014)","10.1002/2013JG002492"
"T3M_87.3","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,87.3,"NA",87.3,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3119,30,,,,,,,,,,,,,,,,,,,,,,,"Tfaily et al. (2014)","10.1002/2013JG002492"
"T3F_87.3","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,87.3,"NA",87.3,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3247,30,,,,,,,,,,,,,,,,,,,,,,,"Tfaily et al. (2014)","10.1002/2013JG002492"
"T3M_112.4","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,112.4,"NA",112.4,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726,30,,,,,,,,,,,,,,,,,,,,,,,"Tfaily et al. (2014)","10.1002/2013JG002492"
"T3F_112.4","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,112.4,"NA",112.4,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3646,30,,,,,,,,,,,,,,,,,,,,,,,"Tfaily et al. (2014)","10.1002/2013JG002492"
"T3M_162.2","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,162.2,"NA",162.2,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5116,30,,,,,,,,,,,,,,,,,,,,,,,"Tfaily et al. (2014)","10.1002/2013JG002492"
"T3F_162.3","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,162.3,"NA",162.3,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5562,30,,,,,,,,,,,,,,,,,,,,,,,"Tfaily et al. (2014)","10.1002/2013JG002492"
"T3F_187.2","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,187.2,"NA",187.2,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6038,30,,,,,,,,,,,,,,,,,,,,,,,"Tfaily et al. (2014)","10.1002/2013JG002492"
"T3Far.0.10","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,10,"NA",0,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3Far.10.20","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,20,"NA",10,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3Far.20.30","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,30,"NA",20,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3Far.30.40","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,40,"NA",30,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3Far.40.50","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,50,"NA",40,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3Far.50.75","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,75,"NA",50,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3Far.100.125","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,125,"NA",100,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3Far.125.150","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,150,"NA",125,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3Far.150.175","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,175,"NA",150,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"T3Far.175.200","S1 Bog","2012-07-01",-93.4527,,47.5063,,,,5,200,"NA",175,"NA","peat","hollow","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.0.10","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,10,"NA",0,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.10.20","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,20,"NA",10,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.20.30","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,30,"NA",20,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.30.40","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,40,"NA",30,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.40.50","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,50,"NA",40,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.50.75","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,75,"NA",50,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.75.100","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,100,"NA",75,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.100.125","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,125,"NA",100,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.125.150","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,150,"NA",125,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.150.175","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,175,"NA",150,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"BLFen1.175.200","Bog Lake Fen","2013-05-31",-93.489,,47.5051,,,,6,200,"NA",175,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII Fen_80","RL-II Fen","2009-01-01",-94.7083,,48.2897,,,,4,80,"NA",80,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Fen_140","RL-II Fen","2009-01-01",-94.7083,,48.2897,,,,4,140,"NA",140,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Fen_220","RL-II Fen","2009-01-01",-94.7083,,48.2897,,,,4,220,"NA",220,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Fen_260","RL-II Fen","2009-01-01",-94.7083,,48.2897,,,,4,260,"NA",260,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Fen_300","RL-II Fen","2009-01-01",-94.7083,,48.2897,,,,4,300,"NA",300,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII.Fen.38.39","RL-II Fen","2009-01-01",-94.7083,,48.2897,,,,4,39,"NA",38,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; sedge and Scorpidium moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Fen.48.49","RL-II Fen","2009-01-01",-94.7083,,48.2897,,,,4,49,"NA",48,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; sedge and Scorpidium moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Fen.58.59","RL-II Fen","2009-01-01",-94.7083,,48.2897,,,,4,59,"NA",58,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; sedge and Scorpidium moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Fen.68.69","RL-II Fen","2009-01-01",-94.7083,,48.2897,,,,4,69,"NA",68,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; sedge and Scorpidium moss remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
