"wavenumber","P_1_A_BRose_AG_Leaves","P_1_A_BRose_AG_Stems","P_1_A_Cloud_AG_Leaves","P_5_CN_Cloud_AG_Leaves","P_1_A_Cloud_AG_Stems","P_3_A_Cloud_AG_Stems","P_2_CN_Crow_AG_Leaves","P_1_CN_Crow_AG_Stems","P_5_A_DBirch_AG_Stems","P_5_A_Lingon_AG_Stems","P_3_A_Lichen_AG","P_3_A_MossA_AG","P_2_A_SphagFusc_AG","T3Far_Sphagnum","Spruce_May2016_Green.Sphagnum.angustifolium","Spruce_May2016_Red.Sphagnum.magellanicum","Spruce_May2016_Eriophorum.vaginatum","Spruce_May2016_Eriophorum.viridicarinatum","Spruce_May2016_Carex.Trisperma","E_1_A_CarexRot_AG","E_2_A_ErioAng_AG","E_4_A_ErioAng.Litter_AG","E_2_CN_ErioAng_AG","E_3_CN_ErioAng_AG","Pocosin_Pinus","Pocosin_Ilex_inkberry","Pocosin_Persia","Pocosin_Gordonia_stem","Pocosin_Lyonia","Pocosin_Vaccinium","Everglades_Cladium_sawgrass","Brunei.Leaf.1","Brunei.Leaf.5","Brunei.Leaf.6","Brunei.Leaf.10","Brunei.S3.P7.Wood.Block","Brunei.S4.P7.B120.Wood.Block","Brunei.S28.P6.B205.Wood.Block","Brunei.S29.P6.B212.Wood.Block"
2579,0.009458567,0.009431451,0.011602723,0.011704915,0.009272512,0.008769571,0.010866593,0.009089254,0.004193108,0.008535606,0.009824279,0.012348272,0.010156113,0.006116607,0.00805115,0.00789765,0.004985897,0.008938576,0.008320281,0.010897166,0.011476385,0.00880744,0.010928584,0.015244178,0.011987109,0.007281104,0.006464218,0.007190793,0.00917902,0.008957481,0.006639174,0.010335724,0.010297585,0.011389017,0.011672916,0.007690852,0.00861898,0.005946932,0.007653229
2578,0.009394607,0.009439817,0.011634487,0.011744849,0.00933601,0.008770403,0.010826422,0.009113261,0.004165277,0.008448529,0.009741137,0.012343152,0.01011093,0.006109174,0.008066236,0.007841785,0.004951993,0.008881637,0.008247397,0.010880746,0.011377577,0.008813745,0.010864742,0.015206357,0.012008247,0.007314128,0.006488915,0.007217165,0.009182491,0.008930566,0.006627435,0.010361483,0.010269093,0.011395845,0.011540416,0.007698457,0.008577936,0.005850303,0.00769049
2577,0.009315496,0.009405687,0.011616052,0.011775493,0.009323777,0.008745333,0.010754667,0.009061539,0.004110373,0.008391696,0.009593268,0.012326394,0.010035273,0.006114637,0.008079005,0.007797619,0.004898152,0.008806359,0.008167194,0.010814626,0.011272848,0.008771364,0.010826922,0.015119325,0.012040133,0.007356428,0.006521156,0.007254383,0.009180424,0.008900994,0.006632681,0.010428552,0.010217082,0.01135643,0.011412978,0.007682045,0.008499849,0.005776928,0.007808774
2576,0.009226637,0.00933275,0.011552867,0.011764216,0.009250984,0.008709179,0.010672109,0.008963057,0.004059423,0.008382458,0.009446928,0.01231583,0.009948362,0.006122365,0.008059829,0.007774007,0.004836922,0.008721531,0.008118346,0.010728928,0.011213911,0.008688401,0.010839106,0.015027894,0.012023253,0.007366618,0.00651729,0.007250858,0.009159861,0.008855701,0.006630703,0.010499194,0.010177719,0.011280978,0.0113293,0.007626729,0.008411547,0.005789947,0.007942304
2575,0.009154657,0.009250766,0.011483192,0.011718257,0.009188405,0.008675319,0.010602295,0.008869398,0.004039279,0.008394304,0.00937283,0.012325443,0.009901189,0.006119265,0.008016393,0.007785224,0.00479393,0.008655076,0.00812446,0.010673934,0.011242047,0.008606186,0.01090396,0.014961567,0.011941048,0.007333079,0.006461478,0.007199838,0.009117562,0.008794194,0.006607986,0.010542593,0.010175144,0.011196181,0.011294082,0.007552339,0.008335595,0.005893821,0.008014949
2574,0.009130835,0.009189912,0.011444123,0.011660708,0.009204025,0.008646582,0.010554563,0.008815713,0.004044096,0.008375463,0.009394531,0.012347658,0.009918097,0.006100215,0.007989282,0.007832812,0.004784002,0.008627132,0.008175573,0.010682074,0.011341313,0.008558593,0.01099782,0.014916431,0.011829894,0.007280465,0.006386284,0.007145929,0.009062078,0.008732749,0.006580693,0.010550909,0.010186784,0.011136499,0.011299729,0.007500191,0.008301102,0.006019011,0.007995787
2573,0.00916661,0.009161778,0.011456161,0.011607823,0.009304768,0.008630395,0.010527964,0.00882048,0.00404123,0.008307619,0.009484728,0.012369568,0.009979938,0.006074149,0.008000493,0.007896645,0.004799745,0.008626939,0.008224445,0.010749328,0.011447514,0.008546668,0.0110924,0.014879624,0.011735153,0.007239449,0.006337506,0.007128827,0.009012773,0.00869456,0.006576804,0.010524519,0.010152717,0.011120716,0.011331965,0.007501605,0.008341717,0.006085487,0.007916039
2572,0.009244437,0.009161111,0.011521131,0.011563499,0.009429673,0.008647269,0.01052131,0.008896267,0.00400744,0.008237741,0.009599597,0.01239407,0.010058702,0.006056975,0.008028161,0.007949621,0.004823643,0.008630596,0.008222015,0.010845247,0.011503073,0.008549381,0.01117354,0.014853161,0.011669579,0.007214233,0.006329624,0.007140081,0.008983311,0.008692275,0.006602137,0.010467772,0.010034622,0.011131527,0.011362315,0.007543498,0.008453025,0.006071298,0.007844349
2571,0.009329085,0.00917572,0.011612717,0.011523096,0.009497662,0.008706133,0.010527257,0.009035938,0.003953683,0.008236996,0.009701718,0.012429171,0.010140229,0.00606059,0.008037302,0.007975045,0.004838441,0.008634383,0.008165238,0.010930714,0.011493661,0.008547532,0.011235845,0.014848695,0.011623069,0.007187999,0.006344799,0.007142748,0.008965131,0.008716872,0.006633976,0.010397591,0.009871556,0.011129813,0.011369202,0.007574155,0.008569896,0.006012237,0.007833333
2570,0.009385012,0.009187649,0.011676572,0.011479757,0.00946513,0.008776997,0.01052153,0.009188467,0.003909096,0.008324308,0.009755789,0.012459797,0.01020707,0.006086851,0.008016761,0.007969575,0.004827051,0.008652144,0.008097209,0.010970618,0.011437752,0.008536215,0.011268642,0.014866319,0.011599192,0.00715863,0.006362534,0.007118408,0.008937592,0.008744048,0.006647932,0.010331403,0.009761775,0.011093752,0.011367799,0.007551276,0.008620328,0.005948732,0.007868656
