"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"1",920,1484,1563,1563,1563,2750,2750,2750
"2",906,1485,1535,1535,1535,2750,2750,2750
"3",920,1484,1535,1535,1535,2750,2750,2750
"4",910,1484,1561,1561,1561,2750,2750,2750
"5",920,1483,1564,1564,1564,2750,2750,2750
"6",920,1483,1525,1525,1525,2750,2750,2750
"7",913,1482,1560,1560,1560,2750,2750,2750
"8",920,1483,1556,1556,1556,2750,2750,2750
"9",920,1486,1535,1535,1535,2750,2750,2750
"10",920,1487,1559,1559,1559,2750,2750,2750
"11",919,1482,1560,1560,1560,2750,2750,2750
"12",920,1485,1563,1563,1563,2750,2750,2750
"13",914,1483,1550,1550,1550,2750,2750,2750
"14",915,1482,1541,1541,1541,2750,2750,2750
"15",913,1482,1532,1532,1532,2750,2750,2750
"16",914,1486,1539,1539,1539,2750,2750,2750
"17",914,1484,1532,1532,1532,2750,2750,2750
"18",914,1484,1532,1532,1532,2750,2750,2750
"19",913,1482,1542,1542,1542,2750,2750,2750
"20",914,1484,1534,1534,1534,2750,2750,2750
"21",914,1483,1549,1549,1549,2750,2750,2750
"22",913,1484,1542,1542,1542,2750,2750,2750
"23",914,1484,1542,1542,1542,2750,2750,2750
"24",910,1483,1535,1535,1535,2750,2750,2750
"25",920,1485,1559,1559,1559,2750,2750,2750
"26",903,1485,1541,1541,1541,2750,2750,2750
"27",920,1482,1561,1561,1561,2750,2750,2750
"28",903,1482,1547,1547,1547,2750,2750,2750
"29",906,1485,1535,1535,1535,2750,2750,2750
"30",911,1484,1526,1526,1526,2750,2750,2750
"31",920,1482,1563,1563,1563,2750,2750,2750
"32",920,1485,1535,1535,1535,2750,2750,2750
"33",890,1487,1564,1564,1564,2750,2750,2750
"34",920,1485,1533,1533,1533,2750,2750,2750
"35",911,1486,1531,1531,1531,2750,2750,2750
"36",920,1483,1555,1555,1555,2750,2750,2750
"37",913,1483,1539,1539,1539,2750,2750,2750
"38",914,1486,1539,1539,1539,2750,2750,2750
"39",913,1483,1544,1544,1544,2750,2750,2750
"40",915,1483,1544,1544,1544,2750,2750,2750
"41",914,1483,1542,1542,1542,2750,2750,2750
"42",915,1485,1547,1547,1547,2750,2750,2750
"43",915,1488,1540,1540,1540,2750,2750,2750
"44",915,1488,1531,1531,1531,2750,2750,2750
"45",890,1487,1541,1541,1541,2750,2750,2750
"46",890,1485,1558,1558,1558,2750,2750,2750
"47",890,1486,1534,1534,1534,2750,2750,2750
"48",890,1488,1531,1531,1531,2750,2750,2750
"49",912,1488,1533,1533,1533,2750,2750,2750
"50",912,1488,1537,1537,1537,2750,2750,2750
"51",920,1488,1534,1534,1534,2750,2750,2750
"52",920,1489,1538,1538,1538,2750,2750,2750
"53",911,1486,1543,1543,1543,2750,2750,2750
"54",920,1493,1546,1546,1546,2750,2750,2750
"55",914,1485,1571,1571,1571,2750,2750,2750
"56",915,1485,1567,1567,1567,2750,2750,2750
"57",915,1488,1572,1572,1572,2750,2750,2750
"58",914,1500,1586,1586,1586,2750,2750,2750
