"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"1",911,1484,1540,1540,1540,2750,2750,2750
"2",915,1486,1546,1546,1546,2750,2750,2750
"3",893,1481,1540,1540,1540,2750,2750,2750
"4",905,1489,1542,1542,1542,2750,2750,2750
"5",913,1485,1547,1547,1547,2750,2750,2750
"6",913,1488,1545,1545,1545,2750,2750,2750
"7",904,1489,1537,1537,1537,2750,2750,2750
"8",913,1486,1547,1547,1547,2750,2750,2750
"9",920,1485,1558,1558,1558,2750,2750,2750
"10",914,1485,1545,1545,1545,2750,2750,2750
"11",920,1490,1535,1535,1535,2750,2750,2750
"12",920,1495,1540,1540,1540,2750,2750,2750
"13",917,1490,1525,1525,1525,2750,2750,2750
"14",917,1487,1531,1531,1531,2750,2750,2750
"15",914,1490,1529,1529,1529,2750,2750,2750
"16",917,1489,1531,1531,1531,2750,2750,2750
"17",920,1482,1535,1535,1535,2750,2750,2750
"18",890,1482,1572,1572,1572,2750,2750,2750
"19",920,1482,1561,1561,1561,2750,2750,2750
"20",920,1485,1533,1533,1533,2750,2750,2750
"21",909,1486,1531,1531,1531,2750,2750,2750
"22",912,1486,1547,1547,1547,2750,2750,2750
"23",920,1486,1526,1526,1526,2750,2750,2750
"24",920,1485,1541,1541,1541,2750,2750,2750
"25",911,1486,1562,1562,1562,2750,2750,2750
"26",909,1489,1542,1542,1542,2750,2750,2750
"27",913,1485,1556,1556,1556,2750,2750,2750
"28",920,1485,1545,1545,1545,2750,2750,2750
"29",902,1489,1548,1548,1548,2750,2750,2750
"30",920,1486,1558,1558,1558,2750,2750,2750
"31",920,1485,1538,1538,1538,2750,2750,2750
"32",913,1486,1530,1530,1530,2750,2750,2750
"33",909,1488,1545,1545,1545,2750,2750,2750
"34",909,1485,1544,1544,1544,2750,2750,2750
"35",916,1486,1555,1555,1555,2750,2750,2750
"36",915,1484,1533,1533,1533,2750,2750,2750
"37",912,1483,1532,1532,1532,2750,2750,2750
"38",910,1484,1548,1548,1548,2750,2750,2750
"39",915,1483,1541,1541,1541,2750,2750,2750
